10232779,DaveHansenTiger,7168,1,294807,2007-10-23T21:51:12Z
10232896,Horza,40450,2,66934544,2019-02-05T14:59:21Z
10232898,Horza,40450,2,66934544,2019-02-05T14:59:21Z
10232906,DaveHansenTiger,7168,1,294807,2007-10-23T21:52:27Z
10232911,pattamaa,7278445,2,67098236,2019-02-11T12:13:52Z
10232913,DaveHansenTiger,7168,1,294807,2007-10-23T21:52:33Z
10232941,DaveHansenTiger,7168,1,294807,2007-10-23T21:53:02Z
10233153,DaveHansenTiger,7168,1,294807,2007-10-23T21:55:35Z
10233156,DaveHansenTiger,7168,1,294807,2007-10-23T21:55:36Z
10233211,DaveHansenTiger,7168,1,294807,2007-10-23T21:56:19Z
10233213,DaveHansenTiger,7168,1,294807,2007-10-23T21:56:21Z
10233247,Horza,40450,3,66934544,2019-02-05T14:59:19Z
10233465,DaveHansenTiger,7168,1,294807,2007-10-23T21:59:24Z
10233475,lucsalmons,6744836,4,67857459,2019-03-06T20:02:35Z
10233477,DaveHansenTiger,7168,1,294807,2007-10-23T21:59:28Z
10233532,DaveHansenTiger,7168,1,294807,2007-10-23T22:00:00Z
10233547,DaveHansenTiger,7168,1,294807,2007-10-23T22:00:18Z
10233656,DaveHansenTiger,7168,1,294807,2007-10-23T22:01:14Z
10233676,DaveHansenTiger,7168,1,294807,2007-10-23T22:01:21Z
10233688,DaveHansenTiger,7168,1,294807,2007-10-23T22:01:30Z
10233772,DaveHansenTiger,7168,1,294807,2007-10-23T22:02:23Z
10233775,DaveHansenTiger,7168,1,294807,2007-10-23T22:02:27Z
10233779,DaveHansenTiger,7168,1,294807,2007-10-23T22:02:29Z
10233782,DaveHansenTiger,7168,1,294807,2007-10-23T22:02:31Z
10233840,DaveHansenTiger,7168,1,294807,2007-10-23T22:03:12Z
10233890,bathis,8469957,3,71847527,2019-07-03T07:24:57Z
10233909,DaveHansenTiger,7168,1,294807,2007-10-23T22:04:23Z
10233923,DaveHansenTiger,7168,1,294807,2007-10-23T22:04:29Z
10233924,Jack the Ripper,1946151,2,59615560,2018-06-06T21:30:54Z
10234150,DaveHansenTiger,7168,1,294807,2007-10-23T22:06:46Z
10234155,DaveHansenTiger,7168,1,294807,2007-10-23T22:06:52Z
10234183,DaveHansenTiger,7168,1,294807,2007-10-23T22:07:04Z
10234198,DaveHansenTiger,7168,1,294807,2007-10-23T22:07:13Z
10234209,grouper,369983,2,27683904,2014-12-25T06:53:15Z
10234299,grouper,369983,2,30344504,2015-04-20T00:35:58Z
10234305,DaveHansenTiger,7168,1,294807,2007-10-23T22:08:19Z
10234307,DaveHansenTiger,7168,1,294807,2007-10-23T22:08:20Z
10234311,DaveHansenTiger,7168,1,294807,2007-10-23T22:08:21Z
10234321,DaveHansenTiger,7168,1,294807,2007-10-23T22:08:28Z
10234463,Jack the Ripper,1946151,6,59616136,2018-06-06T22:14:30Z
10234510,beweta,152074,7,50896617,2017-08-06T21:18:13Z
10234536,arkdatta,8683372,19,69723145,2019-04-30T08:00:54Z
10234628,rza31,2137840,4,46238402,2017-02-20T09:29:34Z
10234691,dyellak,10086276,5,71695893,2019-06-28T06:50:45Z
10234695,DaveHansenTiger,7168,1,294807,2007-10-23T22:13:00Z
10234828,grouper,369983,3,27664000,2014-12-24T03:42:14Z
10234890,bot-mode,451693,2,14407859,2012-12-26T03:02:01Z
10234996,govvala,9632272,8,71711254,2019-06-28T14:50:40Z
10235024,bot-mode,451693,3,14855712,2013-01-31T07:15:51Z
10235160,Jack the Ripper,1946151,3,59616136,2018-06-06T22:14:33Z
10235163,bot-mode,451693,2,14407859,2012-12-26T03:02:02Z
10235223,bathis,8469957,6,71677269,2019-06-27T15:35:32Z
10235322,dyellak,10086276,3,71704655,2019-06-28T11:37:17Z
10235327,bot-mode,451693,2,14407859,2012-12-26T03:02:02Z
10235379,bot-mode,451693,2,14926049,2013-02-05T20:00:33Z
10235767,sivachak,10086301,9,71588595,2019-06-25T07:38:05Z
10235954,rza31,2137840,4,46238402,2017-02-20T09:29:35Z
10236068,Jack the Ripper,1946151,4,59616136,2018-06-06T22:14:30Z
10236114,Jack the Ripper,1946151,3,59616407,2018-06-06T22:39:53Z
10236115,Jack the Ripper,1946151,4,59616136,2018-06-06T22:14:37Z
10236122,nihaalr,10114004,5,71698292,2019-06-28T08:18:11Z
10236200,bot-mode,451693,2,14407859,2012-12-26T03:02:03Z
10236266,bot-mode,451693,2,14926049,2013-02-05T20:01:23Z
10236269,bot-mode,451693,2,14926049,2013-02-05T20:01:23Z
10236279,rekulc1,10114014,3,71705557,2019-06-28T12:07:19Z
10236284,bot-mode,451693,3,14926049,2013-02-05T20:01:24Z
10236777,rddeepth,10086292,5,71711910,2019-06-28T15:09:43Z
10236793,govvala,9632272,11,71709602,2019-06-28T14:05:54Z
10236806,govvala,9632272,11,71709488,2019-06-28T14:02:49Z
10236829,talukdm,8683374,8,71667570,2019-06-27T10:36:24Z
10236851,Jack the Ripper,1946151,12,36927646,2016-01-31T22:42:55Z
10236867,naaitha,9259472,19,71773350,2019-07-01T06:54:57Z
10236872,DaveHansenTiger,7168,1,295136,2007-10-23T22:36:10Z
10237081,bot-mode,451693,2,14926049,2013-02-05T20:02:05Z
10237251,bot-mode,451693,2,14926049,2013-02-05T20:02:18Z
10237258,Jack the Ripper,1946151,4,59615560,2018-06-06T21:30:58Z
10237306,bot-mode,451693,2,14926049,2013-02-05T20:02:21Z
10237522,bot-mode,451693,2,14407859,2012-12-26T03:02:03Z
10237588,pattamaa,7278445,4,67098236,2019-02-11T12:13:52Z
10237646,bot-mode,451693,3,14855712,2013-01-31T07:16:55Z
10237649,valerietheblonde,1943612,4,38764540,2016-04-21T18:18:03Z
10237750,NE2,207745,5,14466498,2012-12-30T16:48:45Z
10237912,bot-mode,451693,3,14407859,2012-12-26T03:02:04Z
10237913,bot-mode,451693,2,14407859,2012-12-26T03:02:04Z
10237916,bot-mode,451693,2,14855712,2013-01-31T07:17:08Z
10237946,bot-mode,451693,2,14855712,2013-01-31T07:17:10Z
10237947,bot-mode,451693,2,14926049,2013-02-05T20:02:22Z
10237990,bot-mode,451693,2,14926049,2013-02-05T20:02:23Z
10237998,bot-mode,451693,2,14926049,2013-02-05T20:02:24Z
10238001,vsahith,9196087,3,71712655,2019-06-28T15:33:44Z
10238089,bathis,8469957,8,71676223,2019-06-27T15:02:40Z
10238107,bot-mode,451693,2,14926049,2013-02-05T20:02:31Z
10238118,bot-mode,451693,2,14926049,2013-02-05T20:02:32Z
10238248,khnzmnz,10114002,5,71675198,2019-06-27T14:31:04Z
10238300,Jack the Ripper,1946151,3,59616136,2018-06-06T22:14:30Z
10238336,bot-mode,451693,2,14926049,2013-02-05T20:02:47Z
10238339,bot-mode,451693,2,14926049,2013-02-05T20:02:47Z
10238460,NE2,207745,17,14231655,2012-12-10T21:36:29Z
10238505,Jack the Ripper,1946151,4,59616682,2018-06-06T23:09:14Z
10238656,bot-mode,451693,2,14926049,2013-02-05T20:03:09Z
10238688,pete404,2716442,12,39799410,2016-06-04T15:38:57Z
10238733,bot-mode,451693,2,14926049,2013-02-05T20:03:12Z
10238776,yerramg,10086296,4,71631314,2019-06-26T10:36:01Z
